id,name,year,glottocode,map_name_full,note
1,Afroboliviano,2012,boli1265,Carte 8,
2,Araona,2012,arao1248,Carte 8,
3,Araona,2012,arao1248,Carte 9,
4,Aymara,2012,,Carte 8,
5,Ayoreo,2012,ayor1240,Carte 8,
6,Baure,2012,baur1253,Carte 8,
7,Canichana,2012,cani1243,Carte 8,
8,Cavineña,2012,cavi1250,Carte 8,
9,Cavineña,2012,cavi1250,Carte 9,
10,Cayubaba,2012,cayu1262,Carte 8,
11,Chacobo,2012,chac1251,Carte 8,
12,Chimani,2012,chim1313,Carte 8,
13,Chiquitano,2012,chiq1253,Carte 8,
14,Ese Ejja,2012,esee1248,Carte 8,
15,Ese Ejja,2012,esee1248,Carte 9,
16,Guarani,2012,east2555,Carte 8,
17,Guarayo,2012,guar1292,Carte 8,
18,Joaquiniano,2012,cani1243,Carte 8,
19,Leco,2012,leco1242,Carte 8,
20,Machineri,2012,mach1268,Carte 8,
21,Moré,2012,more1263,Carte 8,
22,Mosetén,2012,mose1249,Carte 8,
23,Movima,2012,movi1243,Carte 8,
24,Moxeño,2012,moxo1234,Carte 8,
25,Pacahuara,2012,paca1246,Carte 8,
26,Paiconeca,2012,paic1240,Carte 8,
27,Quechua,2012,sout2991,Carte 8,
28,Reyesano,2012,reye1240,Carte 8,
29,Reyesano,2012,reye1240,Carte 9,
30,Sirionó,2012,siri1273,Carte 8,
31,Tacana,2012,taca1256,Carte 8,
32,Tacana,2012,taca1256,Carte 9,
33,Tapiete,2012,tapi1253,Carte 8,
34,Tonalla,2012,iton1250,Carte 8,
35,Uru,2012,uruu1244,Carte 8,
36,Weenhayek,2012,wich1262,Carte 8,
37,Yaminanua,2012,yami1256,Carte 8,
38,Yuqui,2012,yuqu1240,Carte 8,
39,Yuracaré,2012,yura1255,Carte 8,
